passenger_num,passenger_id,preference,assigned_seat,booked_flight,passed_security,arrival_time,joined_security,joined_boarding_queue,booked_flight_time
1,19,,45,Flight-350,1,2024-11-30 12:08:01,2024-11-30 12:08:01,2024-11-30 12:18:01,2024-11-30 10:18:01
2,200,,5,Flight-689,1,2024-11-30 16:18:01,2024-11-30 16:18:01,2024-11-30 16:28:01,2024-11-30 15:18:01
3,54,,46,Flight-689,1,2024-11-30 16:28:01,2024-11-30 16:28:01,2024-11-30 16:28:01,2024-11-30 15:18:01
4,74,,15,Flight-689,1,2024-11-30 16:28:01,2024-11-30 16:38:01,2024-11-30 16:38:01,2024-11-30 12:48:01
5,35,,10,Flight-689,1,2024-11-30 16:18:01,2024-11-30 16:18:01,2024-11-30 16:28:01,2024-11-30 10:38:01
6,122,,8,Flight-689,1,2024-11-30 16:38:01,2024-11-30 16:38:01,2024-11-30 16:38:01,2024-11-30 11:48:01
7,132,,26,Flight-689,1,2024-11-30 16:28:01,2024-11-30 16:28:01,2024-11-30 16:38:01,2024-11-30 12:38:01
8,45,,34,Flight-689,1,2024-11-30 16:08:01,2024-11-30 16:08:01,2024-11-30 16:38:01,2024-11-30 10:28:01
9,87,,14,Flight-290,1,2024-11-30 22:48:01,2024-11-30 22:48:01,2024-11-30 22:58:01,2024-11-30 15:38:01
10,77,,3,Flight-290,1,2024-11-30 22:48:01,2024-11-30 22:48:01,2024-11-30 22:58:01,2024-11-30 15:58:01
11,50,,28,Flight-290,1,2024-11-30 22:58:01,2024-11-30 22:58:01,2024-11-30 23:08:01,2024-11-30 10:28:01
12,198,,47,Flight-290,1,2024-11-30 22:58:01,2024-11-30 22:58:01,2024-11-30 23:08:01,2024-11-30 18:08:01
13,160,,10,Flight-290,1,2024-11-30 22:48:01,2024-11-30 22:48:01,2024-11-30 23:08:01,2024-11-30 14:28:01
14,155,,34,Flight-290,1,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 14:48:01
15,178,,46,Flight-290,1,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 21:48:01
16,131,,18,Flight-290,1,2024-11-30 22:58:01,2024-11-30 22:58:01,2024-11-30 23:08:01,2024-11-30 17:18:01
17,15,,37,Flight-290,1,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 21:48:01
18,76,,19,Flight-290,1,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 14:48:01
19,73,,40,Flight-290,1,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 09:58:01
20,151,,7,Flight-290,1,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 23:08:01,2024-11-30 15:38:01
21,40,,50,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-11-30 17:08:01
22,78,,2,Flight-807,1,2024-12-01 00:28:01,2024-12-01 00:28:01,2024-12-01 00:38:01,2024-11-30 11:08:01
23,3,,21,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-11-30 16:48:01
24,30,,26,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-11-30 11:38:01
25,86,,43,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-11-30 13:48:01
26,5,,17,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-11-30 22:38:01
27,100,,14,Flight-807,1,2024-12-01 00:28:01,2024-12-01 00:28:01,2024-12-01 00:38:01,2024-11-30 22:38:01
28,92,,32,Flight-807,1,2024-12-01 00:28:01,2024-12-01 00:28:01,2024-12-01 00:38:01,2024-11-30 23:18:01
29,108,,18,Flight-807,1,2024-12-01 00:28:01,2024-12-01 00:28:01,2024-12-01 00:38:01,2024-11-30 15:28:01
30,150,,41,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:48:01,2024-11-30 19:48:01
31,128,,4,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:48:01,2024-11-30 22:38:01
